,PXD,pubmed_id
287,PXD025663,34128081
288,PXD025284,34077720
289,PXD025278,34077720
290,PXD025274,34077720
291,PXD025262,34077720
292,PXD025223,34360674
293,PXD025194,34077720
294,PXD024905,34762820
295,PXD024819,34723797
296,PXD024819,34723797
297,PXD024819,34723797
298,PXD023801,33918763
299,PXD023801,33918763
300,PXD023388,34383828
301,PXD023222,38596707
302,PXD023222,38596707
303,PXD023222,38596707
304,PXD023222,38596707
305,PXD022741,33630598
306,PXD022741,33630598
307,PXD022741,33630598
308,PXD020823,33266304
309,PXD006607,30205043
310,PXD017201,32457125
311,PXD020192,33107741
312,PXD020192,33107741
313,PXD008722,32291283
314,PXD018594,32619390
315,PXD019394,21183079
316,PXD019394,21183079
317,PXD019113,32645325
318,PXD019113,32645325
319,PXD018678,32487995
320,PXD018678,32487995
321,PXD018678,32487995
322,PXD018117,32511329
323,PXD017710,32408336
324,PXD017291,33022891
325,PXD000527,24824475
326,PXD016837,32195252
327,PXD013868,32188942
328,PXD016002,31924735
329,PXD015957,32060274
330,PXD011799,31519915
331,PXD011799,31519915
332,PXD009203,30770125
333,PXD010154,30777892
334,PXD014528,32238817
335,PXD013923,31350469
336,PXD013765,31892524
337,PXD013523,31484429
338,PXD009815,32096818
339,PXD006003,31495571
340,PXD013234,31064135
341,PXD012923,31077268
342,PXD009602,29789417
343,PXD012755,31511657
344,PXD012593,31155234
345,PXD012277,30833792
346,PXD012431,31294064
347,PXD012255,30624053
348,PXD012203,30691479
349,PXD007662,29619825
350,PXD011839,30824564
351,PXD011175,30532160
352,PXD010981,27990823
353,PXD005819,30571610
354,PXD010708,30207155
355,PXD010705,30207155
356,PXD010698,30207155
357,PXD010603,30735395
358,PXD010595,31133760
359,PXD008012,30158526
360,PXD006195,30692974
361,PXD009630,30914758
362,PXD009623,30207155
363,PXD008934,29892068
364,PXD008840,29739932
365,PXD005445,29184206
366,PXD005354,29101300
367,PXD005355,29101300
368,PXD008355,30833711
369,PXD008222,28843283
370,PXD006542,29358339
371,PXD007555,30496192
372,PXD005946,23933261
373,PXD007160,29533394
374,PXD006914,29158163
375,PXD006877,32561711
376,PXD006833,28960076
377,PXD006675,29133944
378,PXD006482,28857561
379,PXD006430,28915803
380,PXD006401,29527141
381,PXD006233,28865468
382,PXD005942,23933261
383,PXD005940,23933261
384,PXD004732,28135259
385,PXD004332,27714013
386,PXD005507,28338141
387,PXD005463,28819139
388,PXD005366,28107008
389,PXD005366,28107008
390,PXD004987,27841354
391,PXD004684,28195392
392,PXD004683,28195392
393,PXD004682,28195392
394,PXD004624,27879288
395,PXD004452,28601559
396,PXD004436,28373295
397,PXD004242,28007936
398,PXD004159,26651926
399,PXD004143,28691493
400,PXD004132,26651926
401,PXD003977,28164708
402,PXD003469,28607076
403,PXD003668,27561551
404,PXD003636,26651926
405,PXD003615,26651926
406,PXD003531,28355574
407,PXD003515,26651926
408,PXD003452,26651926
409,PXD003430,26651926
410,PXD003133,26653327
411,PXD002925,27027324
412,PXD002870,26977904
413,PXD002029,26937473
414,PXD002619,26725330
415,PXD002530,26609137
416,PXD002395,22278370
417,PXD000815,27135363
418,PXD002255,26144840
419,PXD002171,26626371
420,PXD002088,25043054
421,PXD002087,25043054
422,PXD002086,25043054
423,PXD002084,25043054
424,PXD002082,25043054
425,PXD002081,25043054
426,PXD002080,25043054
427,PXD002049,26110064
428,PXD002049,26110064
429,PXD001977,26306861
430,PXD001819,26862574
431,PXD000793,25938255
432,PXD000790,25938255
433,PXD000792,25938255
434,PXD001725,25874936
435,PXD001369,26731301
436,PXD001558,26861043
437,PXD001474,25807371
438,PXD001404,25338131
439,PXD001325,25238572
440,PXD000612,25159151
441,PXD000548,24274931
442,PXD000547,24274931
443,PXD000561,24669763
444,PXD000759,25068997
445,PXD000652,25038066
446,PXD000651,25038066
447,PXD000534,25034945
448,PXD000396,24920484
449,PXD000312,24224561
